Powermeter serial number; M00590490
Sensor serial number; 200924102
Sensor Type; Photodiode
Wavelength(nm); 485
Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)
1/14/2021;18:24:51.656; 0.00017991
1/14/2021;18:24:51.658; 0.0001817
1/14/2021;18:24:51.660; 0.00018027
1/14/2021;18:24:51.662; 0.00018027
1/14/2021;18:24:51.664; 0.00018063
1/14/2021;18:24:51.666; 0.00018027
1/14/2021;18:24:51.668; 0.00017991
1/14/2021;18:24:51.669; 0.00018134
1/14/2021;18:24:51.671; 0.00018027
1/14/2021;18:24:51.673; 0.00017991
1/14/2021;18:24:51.675; 0.00017991
1/14/2021;18:24:51.677; 0.00018063
1/14/2021;18:24:51.679; 0.00018027
1/14/2021;18:24:51.681; 0.00017991
1/14/2021;18:24:51.683; 0.00018063
1/14/2021;18:24:51.685; 0.00017991
1/14/2021;18:24:51.687; 0.00018027
1/14/2021;18:24:51.689; 0.00018027
1/14/2021;18:24:51.691; 0.00018063
1/14/2021;18:24:51.693; 0.00017991
1/14/2021;18:24:51.695; 0.0001817
1/14/2021;18:24:51.697; 0.00018063
1/14/2021;18:24:51.699; 0.00018063
1/14/2021;18:24:51.701; 0.00018063
1/14/2021;18:24:51.703; 0.00018063
1/14/2021;18:24:51.705; 0.00018027
1/14/2021;18:24:51.707; 0.0001817
1/14/2021;18:24:51.709; 0.00018098
1/14/2021;18:24:51.711; 0.00018063
1/14/2021;18:24:51.713; 0.00018134
1/14/2021;18:24:51.715; 0.00018027
1/14/2021;18:24:51.717; 0.00018063
1/14/2021;18:24:51.719; 0.00018063
1/14/2021;18:24:51.721; 0.00018098
1/14/2021;18:24:51.723; 0.00018063
1/14/2021;18:24:51.725; 0.00017991
1/14/2021;18:24:51.726; 0.00018027
1/14/2021;18:24:51.727; 0.00017991
1/14/2021;18:24:51.729; 0.00018027
1/14/2021;18:24:51.730; 0.00018063
1/14/2021;18:24:51.735; 0.00018027
1/14/2021;18:24:51.737; 0.00018063
1/14/2021;18:24:51.739; 0.00017955
1/14/2021;18:24:51.741; 0.00017991
1/14/2021;18:24:51.743; 0.00018063
1/14/2021;18:24:51.745; 0.00018027
1/14/2021;18:24:51.746; 0.00018027
1/14/2021;18:24:51.748; 0.00018063
1/14/2021;18:24:51.750; 0.00018027
1/14/2021;18:24:51.752; 0.00017955
1/14/2021;18:24:51.753; 0.00018063
1/14/2021;18:24:51.755; 0.00018027
1/14/2021;18:24:51.757; 0.00018063
1/14/2021;18:24:51.759; 0.00017991
1/14/2021;18:24:51.761; 0.00018063
1/14/2021;18:24:51.763; 0.00017991
1/14/2021;18:24:51.765; 0.00018027
1/14/2021;18:24:51.778; 0.00018134
1/14/2021;18:24:51.787; 0.00018063
1/14/2021;18:24:51.790; 0.00018098
1/14/2021;18:24:51.792; 0.00018098
1/14/2021;18:24:51.794; 0.00018063
1/14/2021;18:24:51.797; 0.00018098
1/14/2021;18:24:51.799; 0.00018063
1/14/2021;18:24:51.801; 0.00018063
1/14/2021;18:24:51.803; 0.00018027
1/14/2021;18:24:51.805; 0.00018098
1/14/2021;18:24:51.807; 0.00018027
1/14/2021;18:24:51.810; 0.00018027
1/14/2021;18:24:51.811; 0.00018063
1/14/2021;18:24:51.813; 0.00018098
1/14/2021;18:24:51.815; 0.00018098
1/14/2021;18:24:51.817; 0.00018027
1/14/2021;18:24:51.819; 0.00018063
1/14/2021;18:24:51.821; 0.00017991
1/14/2021;18:24:51.823; 0.00018063
1/14/2021;18:24:51.825; 0.00018027
1/14/2021;18:24:51.827; 0.00018063
1/14/2021;18:24:51.828; 0.00017991
1/14/2021;18:24:51.830; 0.00018027
1/14/2021;18:24:51.832; 0.00018027
1/14/2021;18:24:51.834; 0.00018027
1/14/2021;18:24:51.836; 0.00018027
1/14/2021;18:24:51.838; 0.00018134
1/14/2021;18:24:51.840; 0.00018063
1/14/2021;18:24:51.842; 0.00018027
1/14/2021;18:24:51.844; 0.00017991
1/14/2021;18:24:51.846; 0.00018063
1/14/2021;18:24:51.847; 0.00018134
1/14/2021;18:24:51.849; 0.00018098
1/14/2021;18:24:51.850; 0.00018027
1/14/2021;18:24:51.851; 0.00018027
1/14/2021;18:24:51.852; 0.00018027
1/14/2021;18:24:51.854; 0.00018027
1/14/2021;18:24:51.856; 0.00018063
1/14/2021;18:24:51.858; 0.00018134
1/14/2021;18:24:51.860; 0.00017991
1/14/2021;18:24:51.862; 0.00018027
1/14/2021;18:24:51.864; 0.00018027
1/14/2021;18:24:51.866; 0.00017991
1/14/2021;18:24:51.868; 0.00018063
1/14/2021;18:24:51.870; 0.00018063
1/14/2021;18:24:51.872; 0.00017991
1/14/2021;18:24:51.874; 0.00018027
1/14/2021;18:24:51.886; 0.00018063
1/14/2021;18:24:51.894; 0.00018027
1/14/2021;18:24:51.897; 0.0001817
1/14/2021;18:24:51.899; 0.00018063
1/14/2021;18:24:51.902; 0.00018063
1/14/2021;18:24:51.904; 0.0001817
1/14/2021;18:24:51.906; 0.00018027
1/14/2021;18:24:51.908; 0.00018063
1/14/2021;18:24:51.910; 0.00018098
1/14/2021;18:24:51.912; 0.00018098
1/14/2021;18:24:51.914; 0.00018063
1/14/2021;18:24:51.915; 0.00018027
1/14/2021;18:24:51.917; 0.00018098
1/14/2021;18:24:51.919; 0.00018098
1/14/2021;18:24:51.921; 0.00018027
1/14/2021;18:24:51.923; 0.00018027
1/14/2021;18:24:51.925; 0.00018063
1/14/2021;18:24:51.927; 0.00017991
1/14/2021;18:24:51.928; 0.00018063
1/14/2021;18:24:51.930; 0.00018027
1/14/2021;18:24:51.931; 0.00018027
1/14/2021;18:24:51.933; 0.00017991
1/14/2021;18:24:51.935; 0.00018063
1/14/2021;18:24:51.937; 0.00018063
1/14/2021;18:24:51.939; 0.00018063
1/14/2021;18:24:51.941; 0.00017991
1/14/2021;18:24:51.943; 0.00018063
1/14/2021;18:24:51.945; 0.00017991
1/14/2021;18:24:51.947; 0.00018027
1/14/2021;18:24:51.949; 0.00018063
1/14/2021;18:24:51.951; 0.00018098
1/14/2021;18:24:51.953; 0.00018134
1/14/2021;18:24:51.955; 0.00018063
1/14/2021;18:24:51.957; 0.00018063
1/14/2021;18:24:51.958; 0.00018063
1/14/2021;18:24:51.960; 0.00018063
1/14/2021;18:24:51.961; 0.00018063
1/14/2021;18:24:51.963; 0.00018063
1/14/2021;18:24:51.964; 0.00018027
1/14/2021;18:24:51.966; 0.00018027
1/14/2021;18:24:51.968; 0.0001817
1/14/2021;18:24:51.970; 0.00018063
1/14/2021;18:24:51.972; 0.00017991
1/14/2021;18:24:51.974; 0.00018098
1/14/2021;18:24:51.976; 0.00018098
1/14/2021;18:24:51.978; 0.00018063
1/14/2021;18:24:51.980; 0.00018063
1/14/2021;18:24:51.981; 0.00018134
1/14/2021;18:24:51.983; 0.00018027
1/14/2021;18:24:51.985; 0.00018063
1/14/2021;18:24:51.987; 0.00018063
1/14/2021;18:24:51.989; 0.00018098
1/14/2021;18:24:51.991; 0.00018063
1/14/2021;18:24:51.993; 0.00018098
1/14/2021;18:24:51.995; 0.00018098
1/14/2021;18:24:51.997; 0.0001817
1/14/2021;18:24:51.999; 0.00018027
1/14/2021;18:24:52.001; 0.0001817
1/14/2021;18:24:52.003; 0.00018063
1/14/2021;18:24:52.005; 0.00017991
1/14/2021;18:24:52.007; 0.00018098
1/14/2021;18:24:52.009; 0.00018063
1/14/2021;18:24:52.011; 0.00018027
1/14/2021;18:24:52.013; 0.00018134
1/14/2021;18:24:52.015; 0.00018027
1/14/2021;18:24:52.017; 0.00018063
1/14/2021;18:24:52.019; 0.00018098
1/14/2021;18:24:52.021; 0.00018063
1/14/2021;18:24:52.023; 0.00018027
1/14/2021;18:24:52.025; 0.00018027
1/14/2021;18:24:52.040; 0.00018027
1/14/2021;18:24:52.048; 0.00018063
1/14/2021;18:24:52.050; 0.00018098
1/14/2021;18:24:52.052; 0.00018063
1/14/2021;18:24:52.055; 0.00018063
1/14/2021;18:24:52.057; 0.00018098
1/14/2021;18:24:52.059; 0.00018134
1/14/2021;18:24:52.061; 0.00018063
1/14/2021;18:24:52.064; 0.00018063
1/14/2021;18:24:52.066; 0.00018063
1/14/2021;18:24:52.068; 0.00018063
1/14/2021;18:24:52.070; 0.00018027
