Powermeter serial number; M00590490
Sensor serial number; 200924102
Sensor Type; Photodiode
Wavelength(nm); 485

Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)
1/14/2021;18:17:20.061; 3.5951E-07
1/14/2021;18:17:20.063; 3.5951E-07
1/14/2021;18:17:20.065; -3.5727E-07
1/14/2021;18:17:20.067; 3.5951E-07
1/14/2021;18:17:20.069; 3.5951E-07
1/14/2021;18:17:20.071; 7.1806E-07
1/14/2021;18:17:20.073; 7.1806E-07
1/14/2021;18:17:20.075; 7.1806E-07
1/14/2021;18:17:20.077; 7.1806E-07
1/14/2021;18:17:20.079; 3.5951E-07
1/14/2021;18:17:20.081; 7.1806E-07
1/14/2021;18:17:20.083; 7.1806E-07
1/14/2021;18:17:20.085; -3.5727E-07
1/14/2021;18:17:20.087; 7.1806E-07
1/14/2021;18:17:20.092; 3.5951E-07
1/14/2021;18:17:20.094; 3.5951E-07
1/14/2021;18:17:20.096; 7.1806E-07
1/14/2021;18:17:20.098; 1.2786E-09
1/14/2021;18:17:20.100; 7.1806E-07
1/14/2021;18:17:20.102; 3.5951E-07
1/14/2021;18:17:20.104; 7.1806E-07
1/14/2021;18:17:20.106; 1.2786E-09
1/14/2021;18:17:20.108; 7.1806E-07
1/14/2021;18:17:20.110; 7.1806E-07
1/14/2021;18:17:20.111; 7.1806E-07
1/14/2021;18:17:20.114; 3.5951E-07
1/14/2021;18:17:20.116; 1.2786E-09
1/14/2021;18:17:20.118; 1.0763E-06
1/14/2021;18:17:20.121; 7.1806E-07
1/14/2021;18:17:20.124; 1.2786E-09
1/14/2021;18:17:20.126; 1.0763E-06
1/14/2021;18:17:20.129; 1.4348E-06
1/14/2021;18:17:20.131; 1.7931E-06
1/14/2021;18:17:20.133; 7.1806E-07
1/14/2021;18:17:20.135; 7.1806E-07
1/14/2021;18:17:20.137; 7.1806E-07
1/14/2021;18:17:20.139; 1.0763E-06
1/14/2021;18:17:20.143; 1.4348E-06
1/14/2021;18:17:20.145; 7.1806E-07
1/14/2021;18:17:20.147; 7.1806E-07
1/14/2021;18:17:20.149; 3.5951E-07
1/14/2021;18:17:20.151; 7.1806E-07
1/14/2021;18:17:20.153; 3.5951E-07
1/14/2021;18:17:20.155; 1.0763E-06
1/14/2021;18:17:20.157; 1.4348E-06
1/14/2021;18:17:20.159; 1.4348E-06
1/14/2021;18:17:20.161; 1.0763E-06
1/14/2021;18:17:20.163; 7.1806E-07
1/14/2021;18:17:20.165; 1.7931E-06
1/14/2021;18:17:20.167; 7.1806E-07
1/14/2021;18:17:20.169; 1.0763E-06
1/14/2021;18:17:20.171; 1.7931E-06
1/14/2021;18:17:20.173; 3.5951E-07
1/14/2021;18:17:20.175; -7.1551E-07
1/14/2021;18:17:20.177; 1.4348E-06
1/14/2021;18:17:20.179; 7.1806E-07
1/14/2021;18:17:20.181; 1.4348E-06
1/14/2021;18:17:20.183; 1.4348E-06
1/14/2021;18:17:20.185; 3.5951E-07
1/14/2021;18:17:20.187; 1.4348E-06
1/14/2021;18:17:20.189; 7.1806E-07
1/14/2021;18:17:20.191; 3.5951E-07
1/14/2021;18:17:20.195; 1.0763E-06
1/14/2021;18:17:20.197; 3.5951E-07
1/14/2021;18:17:20.199; 7.1806E-07
1/14/2021;18:17:20.201; 1.4348E-06
1/14/2021;18:17:20.203; 3.5951E-07
1/14/2021;18:17:20.206; 1.7931E-06
1/14/2021;18:17:20.208; 1.0763E-06
1/14/2021;18:17:20.210; 3.5951E-07
1/14/2021;18:17:20.212; 1.0763E-06
1/14/2021;18:17:20.214; 7.1806E-07
1/14/2021;18:17:20.216; 3.5951E-07
1/14/2021;18:17:20.218; 7.1806E-07
1/14/2021;18:17:20.220; 3.5951E-07
1/14/2021;18:17:20.222; 7.1806E-07
1/14/2021;18:17:20.224; 7.1806E-07
1/14/2021;18:17:20.226; 3.5951E-07
1/14/2021;18:17:20.228; 3.5951E-07
1/14/2021;18:17:20.230; 7.1806E-07
1/14/2021;18:17:20.232; 3.5951E-07
1/14/2021;18:17:20.234; 7.1806E-07
1/14/2021;18:17:20.238; 1.7931E-06
1/14/2021;18:17:20.240; 3.5951E-07
1/14/2021;18:17:20.242; 7.1806E-07
1/14/2021;18:17:20.244; 1.0763E-06
1/14/2021;18:17:20.246; 1.4348E-06
1/14/2021;18:17:20.248; 7.1806E-07
1/14/2021;18:17:20.250; 1.7931E-06
1/14/2021;18:17:20.252; 3.5951E-07
1/14/2021;18:17:20.254; 3.5951E-07
1/14/2021;18:17:20.256; 1.0763E-06
1/14/2021;18:17:20.258; 3.5951E-07
1/14/2021;18:17:20.260; 1.4348E-06
1/14/2021;18:17:20.264; 7.1806E-07
1/14/2021;18:17:20.266; 1.4348E-06
1/14/2021;18:17:20.268; 7.1806E-07
1/14/2021;18:17:20.270; 7.1806E-07
1/14/2021;18:17:20.272; 7.1806E-07
1/14/2021;18:17:20.274; 1.4348E-06
1/14/2021;18:17:20.276; 1.0763E-06
1/14/2021;18:17:20.278; 1.7931E-06
1/14/2021;18:17:20.280; 7.1806E-07
1/14/2021;18:17:20.282; 1.0763E-06
1/14/2021;18:17:20.284; 7.1806E-07
1/14/2021;18:17:20.285; -3.5727E-07
1/14/2021;18:17:20.287; 1.2786E-09
1/14/2021;18:17:20.289; 7.1806E-07
1/14/2021;18:17:20.291; 1.4348E-06
1/14/2021;18:17:20.293; 3.5951E-07
1/14/2021;18:17:20.295; 7.1806E-07
1/14/2021;18:17:20.297; 7.1806E-07
1/14/2021;18:17:20.299; 3.5951E-07
1/14/2021;18:17:20.301; 3.5951E-07
