Powermeter serial number; M00590490
Sensor serial number; 200924102
Sensor Type; Photodiode
Wavelength(nm); 485
Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)
1/14/2021;19:45:56.528; 0.0077074
1/14/2021;19:45:56.530; 0.0077081
1/14/2021;19:45:56.532; 0.0077066
1/14/2021;19:45:56.534; 0.0077038
1/14/2021;19:45:56.536; 0.0077038
1/14/2021;19:45:56.537; 0.0077048
1/14/2021;19:45:56.539; 0.007707
1/14/2021;19:45:56.541; 0.0077106
1/14/2021;19:45:56.543; 0.007711
1/14/2021;19:45:56.545; 0.0077113
1/14/2021;19:45:56.547; 0.0077099
1/14/2021;19:45:56.549; 0.007711
1/14/2021;19:45:56.551; 0.007711
1/14/2021;19:45:56.553; 0.0077099
1/14/2021;19:45:56.555; 0.0077074
1/14/2021;19:45:56.557; 0.0077041
1/14/2021;19:45:56.558; 0.0077034
1/14/2021;19:45:56.559; 0.0077038
1/14/2021;19:45:56.560; 0.0077041
1/14/2021;19:45:56.561; 0.0077027
1/14/2021;19:45:56.563; 0.0077002
1/14/2021;19:45:56.565; 0.0076999
1/14/2021;19:45:56.567; 0.0076995
1/14/2021;19:45:56.569; 0.0077002
1/14/2021;19:45:56.570; 0.0077013
1/14/2021;19:45:56.572; 0.0077002
1/14/2021;19:45:56.574; 0.0076995
1/14/2021;19:45:56.576; 0.0076991
1/14/2021;19:45:56.578; 0.0076988
1/14/2021;19:45:56.580; 0.0076984
1/14/2021;19:45:56.581; 0.0076988
1/14/2021;19:45:56.583; 0.0076977
1/14/2021;19:45:56.584; 0.0076963
1/14/2021;19:45:56.596; 0.0076959
1/14/2021;19:45:56.601; 0.0076948
1/14/2021;19:45:56.603; 0.0076959
1/14/2021;19:45:56.606; 0.0076966
1/14/2021;19:45:56.608; 0.007697
1/14/2021;19:45:56.610; 0.0076977
1/14/2021;19:45:56.612; 0.0076955
1/14/2021;19:45:56.614; 0.0076952
1/14/2021;19:45:56.616; 0.0076952
1/14/2021;19:45:56.618; 0.0076952
1/14/2021;19:45:56.620; 0.0076959
1/14/2021;19:45:56.622; 0.0076955
1/14/2021;19:45:56.623; 0.0076937
1/14/2021;19:45:56.625; 0.0076937
1/14/2021;19:45:56.627; 0.0076937
1/14/2021;19:45:56.629; 0.0076963
1/14/2021;19:45:56.631; 0.0076991
1/14/2021;19:45:56.633; 0.007697
1/14/2021;19:45:56.635; 0.0076959
1/14/2021;19:45:56.637; 0.0076945
1/14/2021;19:45:56.639; 0.0076948
1/14/2021;19:45:56.641; 0.0076948
1/14/2021;19:45:56.642; 0.0076952
1/14/2021;19:45:56.643; 0.0076952
1/14/2021;19:45:56.645; 0.0076952
1/14/2021;19:45:56.647; 0.0076948
1/14/2021;19:45:56.649; 0.0076945
1/14/2021;19:45:56.651; 0.0076966
1/14/2021;19:45:56.653; 0.0076966
