Powermeter serial number; M00590490
Sensor serial number; 200924102
Sensor Type; Photodiode
Wavelength(nm); 485
Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)
1/14/2021;19:16:30.482; 0.0087506
1/14/2021;19:16:30.483; 0.0087496
1/14/2021;19:16:30.485; 0.0087496
1/14/2021;19:16:30.487; 0.0087499
1/14/2021;19:16:30.488; 0.0087514
1/14/2021;19:16:30.489; 0.0087499
1/14/2021;19:16:30.490; 0.0087503
1/14/2021;19:16:30.492; 0.0087488
1/14/2021;19:16:30.493; 0.0087488
1/14/2021;19:16:30.494; 0.0087496
1/14/2021;19:16:30.495; 0.0087506
1/14/2021;19:16:30.496; 0.0087514
1/14/2021;19:16:30.497; 0.0087514
1/14/2021;19:16:30.498; 0.0087517
1/14/2021;19:16:30.499; 0.0087514
1/14/2021;19:16:30.500; 0.0087514
1/14/2021;19:16:30.501; 0.0087496
1/14/2021;19:16:30.503; 0.0087492
1/14/2021;19:16:30.505; 0.0087485
1/14/2021;19:16:30.506; 0.008747
1/14/2021;19:16:30.507; 0.0087478
1/14/2021;19:16:30.508; 0.0087485
1/14/2021;19:16:30.509; 0.0087478
1/14/2021;19:16:30.510; 0.0087481
1/14/2021;19:16:30.511; 0.0087488
1/14/2021;19:16:30.512; 0.0087488
1/14/2021;19:16:30.513; 0.0087481
1/14/2021;19:16:30.514; 0.0087488
1/14/2021;19:16:30.515; 0.0087485
1/14/2021;19:16:30.516; 0.0087488
1/14/2021;19:16:30.518; 0.0087481
1/14/2021;19:16:30.520; 0.008747
1/14/2021;19:16:30.522; 0.0087481
1/14/2021;19:16:30.524; 0.0087485
1/14/2021;19:16:30.526; 0.0087481
1/14/2021;19:16:30.528; 0.008747
1/14/2021;19:16:30.530; 0.008747
1/14/2021;19:16:30.532; 0.0087463
1/14/2021;19:16:30.534; 0.0087485
1/14/2021;19:16:30.542; 0.0087481
1/14/2021;19:16:30.546; 0.0087442
1/14/2021;19:16:30.548; 0.0087442
1/14/2021;19:16:30.550; 0.0087445
1/14/2021;19:16:30.551; 0.0087445
1/14/2021;19:16:30.553; 0.0087452
1/14/2021;19:16:30.555; 0.0087463
1/14/2021;19:16:30.556; 0.008746
1/14/2021;19:16:30.557; 0.0087456
1/14/2021;19:16:30.558; 0.0087456
1/14/2021;19:16:30.559; 0.0087452
1/14/2021;19:16:30.560; 0.008746
1/14/2021;19:16:30.561; 0.0087463
1/14/2021;19:16:30.562; 0.0087463
1/14/2021;19:16:30.563; 0.008747
1/14/2021;19:16:30.564; 0.0087474
1/14/2021;19:16:30.565; 0.0087488
1/14/2021;19:16:30.566; 0.0087478
1/14/2021;19:16:30.567; 0.0087481
1/14/2021;19:16:30.568; 0.0087503
1/14/2021;19:16:30.569; 0.0087488
1/14/2021;19:16:30.570; 0.0087488
1/14/2021;19:16:30.572; 0.0087481
1/14/2021;19:16:30.573; 0.0087485
1/14/2021;19:16:30.574; 0.0087478
1/14/2021;19:16:30.575; 0.008747
1/14/2021;19:16:30.576; 0.008747
1/14/2021;19:16:30.577; 0.0087478
1/14/2021;19:16:30.578; 0.0087467
1/14/2021;19:16:30.579; 0.0087478
1/14/2021;19:16:30.580; 0.008747
1/14/2021;19:16:30.582; 0.008747
1/14/2021;19:16:30.583; 0.008746
1/14/2021;19:16:30.584; 0.0087467
1/14/2021;19:16:30.585; 0.008746
1/14/2021;19:16:30.587; 0.008747
