Powermeter serial number; M00590490
Sensor serial number; 200924102
Sensor Type; Photodiode
Wavelength(nm); 485
Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)
1/14/2021;19:14:09.732; 0.013541
1/14/2021;19:14:09.734; 0.013541
1/14/2021;19:14:09.736; 0.013541
1/14/2021;19:14:09.739; 0.013543
1/14/2021;19:14:09.741; 0.013545
1/14/2021;19:14:09.743; 0.013546
1/14/2021;19:14:09.744; 0.013548
1/14/2021;19:14:09.745; 0.013549
1/14/2021;19:14:09.747; 0.013549
1/14/2021;19:14:09.748; 0.01355
1/14/2021;19:14:09.750; 0.01355
1/14/2021;19:14:09.752; 0.013549
1/14/2021;19:14:09.755; 0.013547
1/14/2021;19:14:09.757; 0.013545
1/14/2021;19:14:09.758; 0.013543
1/14/2021;19:14:09.760; 0.013543
1/14/2021;19:14:09.762; 0.013542
1/14/2021;19:14:09.764; 0.013541
1/14/2021;19:14:09.767; 0.01354
1/14/2021;19:14:09.768; 0.013539
1/14/2021;19:14:09.776; 0.013541
1/14/2021;19:14:09.781; 0.013539
1/14/2021;19:14:09.783; 0.013543
1/14/2021;19:14:09.786; 0.013541
1/14/2021;19:14:09.788; 0.013538
1/14/2021;19:14:09.790; 0.01354
1/14/2021;19:14:09.792; 0.01354
1/14/2021;19:14:09.794; 0.013539
1/14/2021;19:14:09.796; 0.013534
1/14/2021;19:14:09.798; 0.013533
1/14/2021;19:14:09.800; 0.013538
1/14/2021;19:14:09.802; 0.013541
1/14/2021;19:14:09.804; 0.013544
1/14/2021;19:14:09.806; 0.013543
1/14/2021;19:14:09.807; 0.01354
1/14/2021;19:14:09.809; 0.01354
1/14/2021;19:14:09.811; 0.013542
1/14/2021;19:14:09.813; 0.013544
1/14/2021;19:14:09.815; 0.013542
1/14/2021;19:14:09.816; 0.01354
1/14/2021;19:14:09.818; 0.013539
1/14/2021;19:14:09.820; 0.013537
1/14/2021;19:14:09.822; 0.013538
1/14/2021;19:14:09.824; 0.01354
1/14/2021;19:14:09.825; 0.013538
1/14/2021;19:14:09.826; 0.013537
1/14/2021;19:14:09.827; 0.013536
1/14/2021;19:14:09.828; 0.013536
1/14/2021;19:14:09.831; 0.013537
1/14/2021;19:14:09.832; 0.013543
1/14/2021;19:14:09.833; 0.013543
1/14/2021;19:14:09.835; 0.013542
1/14/2021;19:14:09.837; 0.01354
1/14/2021;19:14:09.839; 0.013539
1/14/2021;19:14:09.841; 0.01354
1/14/2021;19:14:09.842; 0.01354
1/14/2021;19:14:09.844; 0.01354
1/14/2021;19:14:09.846; 0.013536
1/14/2021;19:14:09.848; 0.013535
1/14/2021;19:14:09.850; 0.013534
1/14/2021;19:14:09.851; 0.013535
1/14/2021;19:14:09.852; 0.013538
1/14/2021;19:14:09.854; 0.013539
1/14/2021;19:14:09.856; 0.013539
1/14/2021;19:14:09.858; 0.013539
