Powermeter serial number; M00590490
Sensor serial number; 200924102
Sensor Type; Photodiode
Wavelength(nm); 485
Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)
1/14/2021;19:10:49.397; 0.015889
1/14/2021;19:10:49.398; 0.015887
1/14/2021;19:10:49.400; 0.015888
1/14/2021;19:10:49.402; 0.015887
1/14/2021;19:10:49.404; 0.01589
1/14/2021;19:10:49.406; 0.015889
1/14/2021;19:10:49.408; 0.015891
1/14/2021;19:10:49.409; 0.015887
1/14/2021;19:10:49.410; 0.015884
1/14/2021;19:10:49.412; 0.015884
1/14/2021;19:10:49.414; 0.015886
1/14/2021;19:10:49.415; 0.015887
1/14/2021;19:10:49.417; 0.015888
1/14/2021;19:10:49.419; 0.01589
1/14/2021;19:10:49.421; 0.015892
1/14/2021;19:10:49.422; 0.015896
1/14/2021;19:10:49.424; 0.015896
1/14/2021;19:10:49.426; 0.015894
1/14/2021;19:10:49.428; 0.015893
1/14/2021;19:10:49.430; 0.015895
1/14/2021;19:10:49.432; 0.015894
1/14/2021;19:10:49.434; 0.015892
1/14/2021;19:10:49.436; 0.015891
1/14/2021;19:10:49.438; 0.015889
1/14/2021;19:10:49.440; 0.015889
1/14/2021;19:10:49.442; 0.015889
1/14/2021;19:10:49.444; 0.01589
1/14/2021;19:10:49.446; 0.015893
1/14/2021;19:10:49.448; 0.015892
1/14/2021;19:10:49.450; 0.015892
1/14/2021;19:10:49.452; 0.015891
1/14/2021;19:10:49.453; 0.015892
1/14/2021;19:10:49.455; 0.015892
1/14/2021;19:10:49.457; 0.015892
1/14/2021;19:10:49.459; 0.015895
1/14/2021;19:10:49.461; 0.015893
1/14/2021;19:10:49.463; 0.015895
1/14/2021;19:10:49.465; 0.015894
1/14/2021;19:10:49.466; 0.015894
1/14/2021;19:10:49.467; 0.015892
1/14/2021;19:10:49.469; 0.015891
1/14/2021;19:10:49.471; 0.015891
1/14/2021;19:10:49.473; 0.015889
1/14/2021;19:10:49.474; 0.015888
1/14/2021;19:10:49.476; 0.015888
1/14/2021;19:10:49.478; 0.01589
1/14/2021;19:10:49.480; 0.01589
1/14/2021;19:10:49.487; 0.015884
1/14/2021;19:10:49.491; 0.01589
1/14/2021;19:10:49.493; 0.015889
1/14/2021;19:10:49.495; 0.015891
1/14/2021;19:10:49.497; 0.015892
1/14/2021;19:10:49.499; 0.015893
1/14/2021;19:10:49.500; 0.015893
1/14/2021;19:10:49.502; 0.015892
1/14/2021;19:10:49.503; 0.015892
1/14/2021;19:10:49.504; 0.015891
1/14/2021;19:10:49.506; 0.015892
1/14/2021;19:10:49.507; 0.015891
1/14/2021;19:10:49.508; 0.01589
1/14/2021;19:10:49.509; 0.015891
1/14/2021;19:10:49.511; 0.015891
1/14/2021;19:10:49.513; 0.015888
1/14/2021;19:10:49.514; 0.015889
1/14/2021;19:10:49.516; 0.015887
1/14/2021;19:10:49.518; 0.015883
1/14/2021;19:10:49.520; 0.015886
1/14/2021;19:10:49.522; 0.015887
1/14/2021;19:10:49.524; 0.015886
1/14/2021;19:10:49.526; 0.015885
1/14/2021;19:10:49.528; 0.015887
1/14/2021;19:10:49.530; 0.015887
1/14/2021;19:10:49.531; 0.015884
1/14/2021;19:10:49.533; 0.015882
1/14/2021;19:10:49.535; 0.015881
1/14/2021;19:10:49.536; 0.015881
1/14/2021;19:10:49.538; 0.015881
1/14/2021;19:10:49.540; 0.01588
1/14/2021;19:10:49.542; 0.015877
1/14/2021;19:10:49.544; 0.015876
1/14/2021;19:10:49.546; 0.015878
1/14/2021;19:10:49.548; 0.015878
1/14/2021;19:10:49.550; 0.015878
1/14/2021;19:10:49.552; 0.015877
1/14/2021;19:10:49.554; 0.015878
1/14/2021;19:10:49.556; 0.015878
1/14/2021;19:10:49.558; 0.015875
1/14/2021;19:10:49.560; 0.015875
1/14/2021;19:10:49.562; 0.015874
1/14/2021;19:10:49.564; 0.015877
1/14/2021;19:10:49.566; 0.015878
1/14/2021;19:10:49.568; 0.015875
1/14/2021;19:10:49.570; 0.015873
1/14/2021;19:10:49.573; 0.015878
1/14/2021;19:10:49.574; 0.015877
1/14/2021;19:10:49.576; 0.015879
1/14/2021;19:10:49.578; 0.015879
1/14/2021;19:10:49.580; 0.015879
1/14/2021;19:10:49.582; 0.015881
1/14/2021;19:10:49.584; 0.015879
1/14/2021;19:10:49.586; 0.015877
1/14/2021;19:10:49.588; 0.015875
1/14/2021;19:10:49.590; 0.015877
1/14/2021;19:10:49.592; 0.015878
1/14/2021;19:10:49.594; 0.01588
1/14/2021;19:10:49.596; 0.015877
1/14/2021;19:10:49.597; 0.01588
1/14/2021;19:10:49.599; 0.015881
1/14/2021;19:10:49.601; 0.01588
1/14/2021;19:10:49.603; 0.01588
1/14/2021;19:10:49.605; 0.015878
1/14/2021;19:10:49.607; 0.015878
1/14/2021;19:10:49.609; 0.015877
1/14/2021;19:10:49.611; 0.015876
1/14/2021;19:10:49.613; 0.015876
1/14/2021;19:10:49.615; 0.015878
1/14/2021;19:10:49.617; 0.015879
1/14/2021;19:10:49.618; 0.01588
1/14/2021;19:10:49.626; 0.015883
1/14/2021;19:10:49.634; 0.015884
1/14/2021;19:10:49.636; 0.015872
1/14/2021;19:10:49.638; 0.015869
1/14/2021;19:10:49.640; 0.015869
1/14/2021;19:10:49.642; 0.015869
1/14/2021;19:10:49.644; 0.01587
1/14/2021;19:10:49.645; 0.015871
1/14/2021;19:10:49.647; 0.015871
1/14/2021;19:10:49.648; 0.015872
1/14/2021;19:10:49.649; 0.015873
1/14/2021;19:10:49.650; 0.015876
1/14/2021;19:10:49.651; 0.015875
1/14/2021;19:10:49.652; 0.015876
1/14/2021;19:10:49.653; 0.015874
1/14/2021;19:10:49.655; 0.015875
1/14/2021;19:10:49.657; 0.015874
1/14/2021;19:10:49.658; 0.015876
1/14/2021;19:10:49.660; 0.015877
1/14/2021;19:10:49.662; 0.015878
1/14/2021;19:10:49.664; 0.015878
1/14/2021;19:10:49.666; 0.015878
1/14/2021;19:10:49.668; 0.015879
1/14/2021;19:10:49.670; 0.015879
1/14/2021;19:10:49.671; 0.015881
1/14/2021;19:10:49.673; 0.015883
1/14/2021;19:10:49.675; 0.015881
1/14/2021;19:10:49.677; 0.015878
1/14/2021;19:10:49.679; 0.015875
1/14/2021;19:10:49.681; 0.015876
1/14/2021;19:10:49.683; 0.015877
1/14/2021;19:10:49.685; 0.015879
1/14/2021;19:10:49.687; 0.01588
1/14/2021;19:10:49.689; 0.015879
1/14/2021;19:10:49.691; 0.01588
1/14/2021;19:10:49.693; 0.015877
1/14/2021;19:10:49.694; 0.015881
1/14/2021;19:10:49.696; 0.015879
1/14/2021;19:10:49.698; 0.015877
1/14/2021;19:10:49.700; 0.015876
1/14/2021;19:10:49.702; 0.015875
1/14/2021;19:10:49.704; 0.015872
1/14/2021;19:10:49.706; 0.015868
1/14/2021;19:10:49.708; 0.015866
1/14/2021;19:10:49.710; 0.015862
1/14/2021;19:10:49.712; 0.015863
1/14/2021;19:10:49.714; 0.015867
1/14/2021;19:10:49.716; 0.015867
1/14/2021;19:10:49.718; 0.01587
1/14/2021;19:10:49.720; 0.015869
1/14/2021;19:10:49.722; 0.015871
1/14/2021;19:10:49.724; 0.015873
1/14/2021;19:10:49.726; 0.015871
1/14/2021;19:10:49.728; 0.015868
1/14/2021;19:10:49.730; 0.015871
1/14/2021;19:10:49.732; 0.015872
1/14/2021;19:10:49.734; 0.015871
1/14/2021;19:10:49.736; 0.01587
1/14/2021;19:10:49.738; 0.01587
1/14/2021;19:10:49.740; 0.015873
1/14/2021;19:10:49.742; 0.015873
1/14/2021;19:10:49.743; 0.015874
1/14/2021;19:10:49.745; 0.015875
1/14/2021;19:10:49.747; 0.015875
1/14/2021;19:10:49.748; 0.015876
1/14/2021;19:10:49.749; 0.015876
1/14/2021;19:10:49.750; 0.015876
1/14/2021;19:10:49.751; 0.015876
1/14/2021;19:10:49.753; 0.015876
1/14/2021;19:10:49.755; 0.015872
1/14/2021;19:10:49.757; 0.015871
1/14/2021;19:10:49.759; 0.01587
1/14/2021;19:10:49.760; 0.015873
1/14/2021;19:10:49.761; 0.015872
1/14/2021;19:10:49.769; 0.015872
1/14/2021;19:10:49.774; 0.015877
1/14/2021;19:10:49.776; 0.015875
1/14/2021;19:10:49.779; 0.015875
1/14/2021;19:10:49.781; 0.015871
1/14/2021;19:10:49.783; 0.015873
1/14/2021;19:10:49.784; 0.015874
1/14/2021;19:10:49.786; 0.015871
1/14/2021;19:10:49.788; 0.015871
1/14/2021;19:10:49.790; 0.015869
1/14/2021;19:10:49.792; 0.015872
1/14/2021;19:10:49.793; 0.015874
1/14/2021;19:10:49.795; 0.015874
1/14/2021;19:10:49.797; 0.015872
1/14/2021;19:10:49.799; 0.015871
1/14/2021;19:10:49.801; 0.015872
1/14/2021;19:10:49.803; 0.015873
1/14/2021;19:10:49.805; 0.015874
1/14/2021;19:10:49.807; 0.015876
1/14/2021;19:10:49.809; 0.015874
1/14/2021;19:10:49.811; 0.015873
1/14/2021;19:10:49.813; 0.015874
1/14/2021;19:10:49.815; 0.015877
1/14/2021;19:10:49.817; 0.015879
1/14/2021;19:10:49.819; 0.015876
1/14/2021;19:10:49.821; 0.015873
1/14/2021;19:10:49.823; 0.015873
1/14/2021;19:10:49.825; 0.015873
1/14/2021;19:10:49.827; 0.015878
1/14/2021;19:10:49.829; 0.015877
1/14/2021;19:10:49.831; 0.015877
1/14/2021;19:10:49.832; 0.015876
1/14/2021;19:10:49.833; 0.015876
1/14/2021;19:10:49.835; 0.015877
1/14/2021;19:10:49.837; 0.015878
1/14/2021;19:10:49.839; 0.015878
1/14/2021;19:10:49.841; 0.015882
1/14/2021;19:10:49.843; 0.015881
1/14/2021;19:10:49.844; 0.01588
1/14/2021;19:10:49.846; 0.015879
1/14/2021;19:10:49.848; 0.015876
1/14/2021;19:10:49.849; 0.015873
1/14/2021;19:10:49.851; 0.015872
1/14/2021;19:10:49.853; 0.015871
1/14/2021;19:10:49.855; 0.015873
1/14/2021;19:10:49.856; 0.015872
1/14/2021;19:10:49.858; 0.015871
1/14/2021;19:10:49.860; 0.015871
1/14/2021;19:10:49.862; 0.015874
1/14/2021;19:10:49.864; 0.015874
1/14/2021;19:10:49.866; 0.015873
1/14/2021;19:10:49.868; 0.015873
1/14/2021;19:10:49.870; 0.015873
1/14/2021;19:10:49.872; 0.015875
1/14/2021;19:10:49.874; 0.015873
1/14/2021;19:10:49.876; 0.01587
1/14/2021;19:10:49.877; 0.015866
1/14/2021;19:10:49.879; 0.015864
1/14/2021;19:10:49.881; 0.015862
1/14/2021;19:10:49.883; 0.015861
1/14/2021;19:10:49.885; 0.015864
1/14/2021;19:10:49.887; 0.015868
1/14/2021;19:10:49.889; 0.015869
1/14/2021;19:10:49.891; 0.015868
1/14/2021;19:10:49.893; 0.015869
1/14/2021;19:10:49.895; 0.015872
1/14/2021;19:10:49.897; 0.015873
1/14/2021;19:10:49.899; 0.015875
1/14/2021;19:10:49.902; 0.015872
1/14/2021;19:10:49.904; 0.01587
1/14/2021;19:10:49.911; 0.015868
1/14/2021;19:10:49.917; 0.015874
1/14/2021;19:10:49.919; 0.015872
1/14/2021;19:10:49.921; 0.015874
1/14/2021;19:10:49.924; 0.015875
1/14/2021;19:10:49.926; 0.015878
1/14/2021;19:10:49.928; 0.015876
1/14/2021;19:10:49.930; 0.015875
1/14/2021;19:10:49.932; 0.015873
1/14/2021;19:10:49.934; 0.015873
1/14/2021;19:10:49.935; 0.015872
1/14/2021;19:10:49.936; 0.01587
1/14/2021;19:10:49.938; 0.015869
1/14/2021;19:10:49.939; 0.015867
1/14/2021;19:10:49.940; 0.015865
1/14/2021;19:10:49.941; 0.015864
1/14/2021;19:10:49.943; 0.015864
1/14/2021;19:10:49.945; 0.015864
1/14/2021;19:10:49.947; 0.015864
1/14/2021;19:10:49.948; 0.015864
1/14/2021;19:10:49.949; 0.015865
1/14/2021;19:10:49.951; 0.015863
1/14/2021;19:10:49.953; 0.015862
1/14/2021;19:10:49.955; 0.015858
1/14/2021;19:10:49.957; 0.015857
1/14/2021;19:10:49.959; 0.015858
1/14/2021;19:10:49.961; 0.01586
1/14/2021;19:10:49.963; 0.015862
1/14/2021;19:10:49.965; 0.015861
1/14/2021;19:10:49.967; 0.015858
1/14/2021;19:10:49.969; 0.01586
1/14/2021;19:10:49.970; 0.015865
1/14/2021;19:10:49.971; 0.015867
1/14/2021;19:10:49.972; 0.015868
1/14/2021;19:10:49.973; 0.015869
1/14/2021;19:10:49.975; 0.015868
1/14/2021;19:10:49.977; 0.015867
1/14/2021;19:10:49.979; 0.015868
1/14/2021;19:10:49.981; 0.015871
1/14/2021;19:10:49.983; 0.015873
1/14/2021;19:10:49.985; 0.015872
1/14/2021;19:10:49.987; 0.01587
1/14/2021;19:10:49.989; 0.015868
1/14/2021;19:10:49.990; 0.015868
1/14/2021;19:10:49.991; 0.015869
1/14/2021;19:10:49.992; 0.015872
1/14/2021;19:10:49.993; 0.015873
1/14/2021;19:10:49.995; 0.015871
1/14/2021;19:10:49.996; 0.015871
1/14/2021;19:10:49.998; 0.01587
1/14/2021;19:10:49.999; 0.015868
1/14/2021;19:10:50.001; 0.015868
1/14/2021;19:10:50.003; 0.01587
1/14/2021;19:10:50.005; 0.015873
1/14/2021;19:10:50.007; 0.015875
1/14/2021;19:10:50.009; 0.015874
1/14/2021;19:10:50.011; 0.015876
1/14/2021;19:10:50.013; 0.015879
1/14/2021;19:10:50.015; 0.01588
1/14/2021;19:10:50.017; 0.015881
1/14/2021;19:10:50.019; 0.015879
1/14/2021;19:10:50.021; 0.015881
1/14/2021;19:10:50.022; 0.015883
1/14/2021;19:10:50.023; 0.015881
1/14/2021;19:10:50.024; 0.01588
1/14/2021;19:10:50.026; 0.015879
1/14/2021;19:10:50.027; 0.015881
1/14/2021;19:10:50.029; 0.015881
1/14/2021;19:10:50.031; 0.015885
1/14/2021;19:10:50.033; 0.015885
1/14/2021;19:10:50.035; 0.015886
1/14/2021;19:10:50.036; 0.015883
1/14/2021;19:10:50.038; 0.015881
1/14/2021;19:10:50.039; 0.015884
1/14/2021;19:10:50.041; 0.015885
1/14/2021;19:10:50.043; 0.015885
1/14/2021;19:10:50.045; 0.015881
1/14/2021;19:10:50.046; 0.015877
1/14/2021;19:10:50.054; 0.015876
1/14/2021;19:10:50.060; 0.015882
1/14/2021;19:10:50.062; 0.015886
1/14/2021;19:10:50.064; 0.015889
1/14/2021;19:10:50.066; 0.01589
1/14/2021;19:10:50.068; 0.015889
1/14/2021;19:10:50.070; 0.015887
1/14/2021;19:10:50.072; 0.015887
1/14/2021;19:10:50.074; 0.015889
1/14/2021;19:10:50.076; 0.015887
1/14/2021;19:10:50.078; 0.015882
1/14/2021;19:10:50.080; 0.015883
1/14/2021;19:10:50.082; 0.015885
1/14/2021;19:10:50.084; 0.015887
1/14/2021;19:10:50.086; 0.015888
1/14/2021;19:10:50.088; 0.015888
1/14/2021;19:10:50.090; 0.015889
1/14/2021;19:10:50.091; 0.01589
1/14/2021;19:10:50.093; 0.015892
1/14/2021;19:10:50.094; 0.015895
1/14/2021;19:10:50.097; 0.015895
1/14/2021;19:10:50.098; 0.015892
1/14/2021;19:10:50.100; 0.015893
1/14/2021;19:10:50.102; 0.015895
1/14/2021;19:10:50.104; 0.015896
1/14/2021;19:10:50.106; 0.015893
1/14/2021;19:10:50.107; 0.01589
1/14/2021;19:10:50.108; 0.01589
1/14/2021;19:10:50.110; 0.015891
1/14/2021;19:10:50.112; 0.015891
1/14/2021;19:10:50.114; 0.015892
1/14/2021;19:10:50.116; 0.015887
1/14/2021;19:10:50.118; 0.015885
1/14/2021;19:10:50.120; 0.015886
1/14/2021;19:10:50.121; 0.015885
1/14/2021;19:10:50.122; 0.015886
1/14/2021;19:10:50.124; 0.015885
1/14/2021;19:10:50.125; 0.015887
1/14/2021;19:10:50.127; 0.015887
1/14/2021;19:10:50.129; 0.015888
1/14/2021;19:10:50.131; 0.015887
1/14/2021;19:10:50.133; 0.015888
1/14/2021;19:10:50.134; 0.015891
1/14/2021;19:10:50.136; 0.015891
1/14/2021;19:10:50.138; 0.015887
1/14/2021;19:10:50.140; 0.015881
1/14/2021;19:10:50.141; 0.015881
1/14/2021;19:10:50.143; 0.015884
1/14/2021;19:10:50.145; 0.015887
1/14/2021;19:10:50.147; 0.015886
1/14/2021;19:10:50.149; 0.015884
1/14/2021;19:10:50.151; 0.015884
1/14/2021;19:10:50.153; 0.015887
1/14/2021;19:10:50.155; 0.015886
1/14/2021;19:10:50.157; 0.015885
1/14/2021;19:10:50.159; 0.015885
1/14/2021;19:10:50.161; 0.015885
1/14/2021;19:10:50.163; 0.015884
1/14/2021;19:10:50.165; 0.015886
1/14/2021;19:10:50.167; 0.015883
1/14/2021;19:10:50.169; 0.01588
1/14/2021;19:10:50.171; 0.015879
1/14/2021;19:10:50.173; 0.015878
1/14/2021;19:10:50.175; 0.015875
1/14/2021;19:10:50.177; 0.015871
1/14/2021;19:10:50.179; 0.015869
1/14/2021;19:10:50.181; 0.01587
1/14/2021;19:10:50.183; 0.015872
1/14/2021;19:10:50.185; 0.015871
1/14/2021;19:10:50.187; 0.015872
1/14/2021;19:10:50.196; 0.015872
1/14/2021;19:10:50.202; 0.015868
1/14/2021;19:10:50.204; 0.015866
1/14/2021;19:10:50.207; 0.015869
1/14/2021;19:10:50.209; 0.015871
1/14/2021;19:10:50.211; 0.01587
1/14/2021;19:10:50.213; 0.015872
1/14/2021;19:10:50.215; 0.015875
1/14/2021;19:10:50.217; 0.015876
1/14/2021;19:10:50.219; 0.015875
1/14/2021;19:10:50.221; 0.015871
1/14/2021;19:10:50.223; 0.015871
1/14/2021;19:10:50.224; 0.015873
1/14/2021;19:10:50.226; 0.015872
1/14/2021;19:10:50.228; 0.015875
1/14/2021;19:10:50.230; 0.015874
1/14/2021;19:10:50.232; 0.015871
1/14/2021;19:10:50.234; 0.015874
1/14/2021;19:10:50.236; 0.015877
1/14/2021;19:10:50.237; 0.015876
1/14/2021;19:10:50.239; 0.015876
1/14/2021;19:10:50.241; 0.015876
1/14/2021;19:10:50.243; 0.015877
1/14/2021;19:10:50.245; 0.015876
1/14/2021;19:10:50.247; 0.015878
1/14/2021;19:10:50.249; 0.015881
1/14/2021;19:10:50.251; 0.015881
1/14/2021;19:10:50.253; 0.015879
1/14/2021;19:10:50.255; 0.015882
1/14/2021;19:10:50.257; 0.015881
1/14/2021;19:10:50.259; 0.015877
1/14/2021;19:10:50.261; 0.015875
1/14/2021;19:10:50.263; 0.015871
1/14/2021;19:10:50.265; 0.015871
1/14/2021;19:10:50.267; 0.015867
1/14/2021;19:10:50.268; 0.015864
1/14/2021;19:10:50.270; 0.015865
1/14/2021;19:10:50.271; 0.015867
1/14/2021;19:10:50.273; 0.015868
1/14/2021;19:10:50.275; 0.015869
1/14/2021;19:10:50.277; 0.015869
1/14/2021;19:10:50.279; 0.015871
1/14/2021;19:10:50.281; 0.015874
1/14/2021;19:10:50.283; 0.015874
1/14/2021;19:10:50.285; 0.015875
1/14/2021;19:10:50.287; 0.015873
1/14/2021;19:10:50.289; 0.015873
1/14/2021;19:10:50.291; 0.01587
1/14/2021;19:10:50.293; 0.015868
1/14/2021;19:10:50.295; 0.015871
1/14/2021;19:10:50.297; 0.015877
1/14/2021;19:10:50.298; 0.015877
1/14/2021;19:10:50.299; 0.015878
1/14/2021;19:10:50.301; 0.015878
1/14/2021;19:10:50.303; 0.015879
1/14/2021;19:10:50.305; 0.015882
1/14/2021;19:10:50.306; 0.015882
1/14/2021;19:10:50.308; 0.015881
1/14/2021;19:10:50.310; 0.015875
1/14/2021;19:10:50.312; 0.015872
1/14/2021;19:10:50.314; 0.015872
1/14/2021;19:10:50.316; 0.01587
1/14/2021;19:10:50.318; 0.015867
1/14/2021;19:10:50.324; 0.015864
1/14/2021;19:10:50.325; 0.015866
1/14/2021;19:10:50.327; 0.015867
1/14/2021;19:10:50.329; 0.015871
1/14/2021;19:10:50.332; 0.015871
1/14/2021;19:10:50.339; 0.015869
1/14/2021;19:10:50.343; 0.015869
1/14/2021;19:10:50.345; 0.015866
1/14/2021;19:10:50.348; 0.015865
1/14/2021;19:10:50.350; 0.015865
1/14/2021;19:10:50.352; 0.015865
1/14/2021;19:10:50.354; 0.015861
1/14/2021;19:10:50.356; 0.015862
1/14/2021;19:10:50.358; 0.015859
1/14/2021;19:10:50.360; 0.015859
1/14/2021;19:10:50.362; 0.015863
1/14/2021;19:10:50.364; 0.015863
1/14/2021;19:10:50.365; 0.015861
1/14/2021;19:10:50.366; 0.015863
1/14/2021;19:10:50.367; 0.015863
1/14/2021;19:10:50.368; 0.015864
1/14/2021;19:10:50.370; 0.015865
1/14/2021;19:10:50.372; 0.015865
1/14/2021;19:10:50.373; 0.015867
1/14/2021;19:10:50.375; 0.015865
1/14/2021;19:10:50.376; 0.015866
1/14/2021;19:10:50.378; 0.015866
1/14/2021;19:10:50.380; 0.015865
1/14/2021;19:10:50.381; 0.015865
1/14/2021;19:10:50.383; 0.015867
1/14/2021;19:10:50.385; 0.015869
1/14/2021;19:10:50.387; 0.015865
1/14/2021;19:10:50.389; 0.015866
1/14/2021;19:10:50.391; 0.015864
1/14/2021;19:10:50.393; 0.015862
1/14/2021;19:10:50.394; 0.015866
1/14/2021;19:10:50.395; 0.015865
1/14/2021;19:10:50.396; 0.015864
1/14/2021;19:10:50.397; 0.015863
1/14/2021;19:10:50.398; 0.015865
1/14/2021;19:10:50.399; 0.015864
1/14/2021;19:10:50.400; 0.015863
1/14/2021;19:10:50.401; 0.015864
1/14/2021;19:10:50.402; 0.015865
1/14/2021;19:10:50.403; 0.015864
1/14/2021;19:10:50.404; 0.015864
1/14/2021;19:10:50.405; 0.015864
1/14/2021;19:10:50.406; 0.015864
1/14/2021;19:10:50.408; 0.015864
1/14/2021;19:10:50.409; 0.015866
1/14/2021;19:10:50.410; 0.015868
1/14/2021;19:10:50.411; 0.015867
1/14/2021;19:10:50.412; 0.015869
1/14/2021;19:10:50.413; 0.01587
1/14/2021;19:10:50.414; 0.01587
1/14/2021;19:10:50.415; 0.015868
1/14/2021;19:10:50.416; 0.015868
1/14/2021;19:10:50.418; 0.015867
1/14/2021;19:10:50.419; 0.015867
1/14/2021;19:10:50.420; 0.015871
1/14/2021;19:10:50.422; 0.015869
1/14/2021;19:10:50.424; 0.015868
1/14/2021;19:10:50.426; 0.015867
1/14/2021;19:10:50.428; 0.015868
1/14/2021;19:10:50.430; 0.015869
1/14/2021;19:10:50.431; 0.015869
1/14/2021;19:10:50.432; 0.01587
1/14/2021;19:10:50.433; 0.015868
1/14/2021;19:10:50.435; 0.015864
1/14/2021;19:10:50.437; 0.015865
1/14/2021;19:10:50.438; 0.015863
1/14/2021;19:10:50.439; 0.015865
1/14/2021;19:10:50.441; 0.015867
1/14/2021;19:10:50.442; 0.015866
1/14/2021;19:10:50.443; 0.015867
1/14/2021;19:10:50.444; 0.015866
1/14/2021;19:10:50.445; 0.015865
1/14/2021;19:10:50.446; 0.015864
1/14/2021;19:10:50.448; 0.015864
1/14/2021;19:10:50.450; 0.015867
1/14/2021;19:10:50.452; 0.015866
1/14/2021;19:10:50.454; 0.015865
1/14/2021;19:10:50.456; 0.015866
1/14/2021;19:10:50.458; 0.015867
1/14/2021;19:10:50.460; 0.015866
1/14/2021;19:10:50.462; 0.015867
1/14/2021;19:10:50.464; 0.015871
1/14/2021;19:10:50.466; 0.01587
1/14/2021;19:10:50.468; 0.01587
1/14/2021;19:10:50.470; 0.015869
1/14/2021;19:10:50.470; 0.01587
1/14/2021;19:10:50.478; 0.015872
1/14/2021;19:10:50.482; 0.015872
1/14/2021;19:10:50.484; 0.015877
1/14/2021;19:10:50.486; 0.015875
1/14/2021;19:10:50.488; 0.015875
1/14/2021;19:10:50.490; 0.015877
1/14/2021;19:10:50.492; 0.015877
1/14/2021;19:10:50.494; 0.015878
1/14/2021;19:10:50.496; 0.015875
1/14/2021;19:10:50.498; 0.015871
1/14/2021;19:10:50.500; 0.01587
1/14/2021;19:10:50.502; 0.01587
1/14/2021;19:10:50.503; 0.015872
1/14/2021;19:10:50.504; 0.015872
1/14/2021;19:10:50.506; 0.015871
1/14/2021;19:10:50.508; 0.01587
1/14/2021;19:10:50.509; 0.015873
1/14/2021;19:10:50.511; 0.015872
1/14/2021;19:10:50.513; 0.015873
