Powermeter serial number; M00590490
Sensor serial number; 200924102
Sensor Type; Photodiode
Wavelength(nm); 485
Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)
1/14/2021;19:35:11.454; 0.0031699
1/14/2021;19:35:11.456; 0.0031695
1/14/2021;19:35:11.457; 0.0031695
1/14/2021;19:35:11.458; 0.0031695
1/14/2021;19:35:11.460; 0.0031699
1/14/2021;19:35:11.462; 0.0031692
1/14/2021;19:35:11.464; 0.0031688
1/14/2021;19:35:11.466; 0.003167
1/14/2021;19:35:11.468; 0.0031674
1/14/2021;19:35:11.470; 0.003167
1/14/2021;19:35:11.471; 0.0031677
1/14/2021;19:35:11.473; 0.003167
1/14/2021;19:35:11.474; 0.0031674
1/14/2021;19:35:11.476; 0.0031677
1/14/2021;19:35:11.477; 0.0031677
1/14/2021;19:35:11.479; 0.0031681
1/14/2021;19:35:11.481; 0.0031692
1/14/2021;19:35:11.483; 0.0031692
1/14/2021;19:35:11.485; 0.0031692
1/14/2021;19:35:11.488; 0.0031699
1/14/2021;19:35:11.490; 0.0031692
1/14/2021;19:35:11.492; 0.0031703
1/14/2021;19:35:11.493; 0.0031695
1/14/2021;19:35:11.495; 0.0031692
1/14/2021;19:35:11.497; 0.0031699
1/14/2021;19:35:11.499; 0.0031688
1/14/2021;19:35:11.501; 0.0031688
1/14/2021;19:35:11.503; 0.0031692
1/14/2021;19:35:11.505; 0.0031692
1/14/2021;19:35:11.507; 0.0031695
1/14/2021;19:35:11.509; 0.0031695
1/14/2021;19:35:11.511; 0.0031688
1/14/2021;19:35:11.512; 0.0031685
1/14/2021;19:35:11.514; 0.0031688
1/14/2021;19:35:11.519; 0.0031685
1/14/2021;19:35:11.520; 0.0031695
1/14/2021;19:35:11.522; 0.0031688
1/14/2021;19:35:11.523; 0.0031685
1/14/2021;19:35:11.525; 0.0031685
1/14/2021;19:35:11.526; 0.003171
1/14/2021;19:35:11.528; 0.0031695
1/14/2021;19:35:11.530; 0.0031699
1/14/2021;19:35:11.532; 0.003171
1/14/2021;19:35:11.534; 0.0031703
1/14/2021;19:35:11.536; 0.0031692
1/14/2021;19:35:11.538; 0.0031688
1/14/2021;19:35:11.540; 0.0031692
1/14/2021;19:35:11.542; 0.0031699
1/14/2021;19:35:11.543; 0.0031713
1/14/2021;19:35:11.544; 0.0031706
1/14/2021;19:35:11.546; 0.0031706
1/14/2021;19:35:11.548; 0.0031706
1/14/2021;19:35:11.550; 0.0031713
1/14/2021;19:35:11.552; 0.0031717
1/14/2021;19:35:11.553; 0.003171
1/14/2021;19:35:11.555; 0.003171
1/14/2021;19:35:11.557; 0.0031695
1/14/2021;19:35:11.559; 0.0031692
1/14/2021;19:35:11.560; 0.0031695
1/14/2021;19:35:11.562; 0.0031688
1/14/2021;19:35:11.564; 0.0031695
1/14/2021;19:35:11.566; 0.0031703
1/14/2021;19:35:11.568; 0.0031695
1/14/2021;19:35:11.569; 0.0031699
1/14/2021;19:35:11.571; 0.0031699
1/14/2021;19:35:11.573; 0.0031703
1/14/2021;19:35:11.575; 0.0031703
1/14/2021;19:35:11.576; 0.0031706
1/14/2021;19:35:11.584; 0.003171
1/14/2021;19:35:11.589; 0.0031685
1/14/2021;19:35:11.592; 0.0031688
1/14/2021;19:35:11.594; 0.0031685
1/14/2021;19:35:11.596; 0.0031685
1/14/2021;19:35:11.600; 0.0031685
1/14/2021;19:35:11.601; 0.0031699
1/14/2021;19:35:11.603; 0.003171
1/14/2021;19:35:11.605; 0.003171
1/14/2021;19:35:11.607; 0.0031713
1/14/2021;19:35:11.609; 0.003172
1/14/2021;19:35:11.611; 0.0031731
1/14/2021;19:35:11.612; 0.0031728
1/14/2021;19:35:11.614; 0.0031724
1/14/2021;19:35:11.616; 0.0031713
